condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
NF,Zitrone,gelb,Waescheklammer,gelb,Birne,orange,Socken,rot
AF,Sonnenbrille,gelb,Sonnenbrille,rot,Waescheklammer,gruen,Socken,orange
NF,Erdbeere,rot,Socken,rot,Bueroklammer,braun,Waescheklammer,gruen
AF,Moehre,gruen,Moehre,orange,Bueroklammer,braun,Avokado,gelb
NF,Kartoffeln,orange,Bueroklammer,orange,Waescheklammer,rot,Sonnenbrille,rot
AF,Sonnenbrille,braun,Sonnenbrille,gruen,Avokado,gelb,Birne,rot
NF,Kirsche,gelb,Socken,gelb,Aubergine,gruen,Bueroklammer,rot
ANF,Zitrone,gelb,Banane,braun,Birne,rot,Waescheklammer,gruen
NF,Walnuss,braun,Sonnenbrille,braun,Waescheklammer,gruen,Birne,rot
ANF,Erdbeere,rot,Erbsen,gelb,Zucchini,gruen,Birne,orange
ANF,Tomate,gruen,Walnuss,braun,Waescheklammer,orange,Avokado,gelb
NF,Trauben,orange,Waescheklammer,orange,Sonnenbrille,rot,Zucchini,gruen
ANF,Erbsen,gelb,Tomate,gruen,Socken,orange,Bueroklammer,braun
NF,Moehre,gruen,Sonnenbrille,gruen,Birne,rot,Bueroklammer,braun
AF,Paprika,braun,Paprika,rot,Aubergine,gruen,Waescheklammer,orange
AF,Socken,gruen,Socken,orange,Birne,rot,Bueroklammer,braun
NF,Paprika,braun,Waescheklammer,braun,Socken,orange,Bueroklammer,gelb
NF,Erbsen,gelb,Sonnenbrille,gelb,Bueroklammer,rot,Socken,braun
AF,Gurke,rot,Gurke,braun,Socken,orange,Bueroklammer,gelb
AF,Bueroklammer,rot,Bueroklammer,braun,Waescheklammer,orange,Aubergine,gruen
