condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
ANF,Zitrone,gelb,Erdbeere,rot,Zucchini,gruen,Zucchini,braun
AF,Moehre,gruen,Moehre,orange,Bueroklammer,rot,Waescheklammer,braun
NF,Banane,braun,Sonnenbrille,braun,Socken,gruen,Zucchini,gruen
AF,Waescheklammer,orange,Waescheklammer,gelb,Bueroklammer,gruen,Zucchini,rot
NF,Paprika,braun,Bueroklammer,braun,Zucchini,gelb,Waescheklammer,gelb
ANF,Erbsen,gelb,Aprikose,rot,Waescheklammer,orange,Waescheklammer,braun
NF,Mandarine,orange,Bueroklammer,orange,Waescheklammer,gelb,Aubergine,gelb
ANF,Kartoffeln,orange,Tomate,gruen,Waescheklammer,braun,Avokado,gelb
NF,Aprikose,rot,Socken,rot,Zucchini,gruen,Zucchini,braun
AF,Trauben,orange,Trauben,gelb,Socken,gruen,Aubergine,rot
NF,Kirsche,gelb,Socken,gelb,Bueroklammer,gruen,Zucchini,rot
ANF,Aprikose,rot,Walnuss,braun,Avokado,gelb,Waescheklammer,orange
AF,Bueroklammer,rot,Bueroklammer,braun,Zucchini,gruen,Socken,gelb
AF,Sonnenbrille,braun,Sonnenbrille,gruen,Waescheklammer,orange,Avokado,gelb
NF,Kartoffeln,orange,Waescheklammer,orange,Aubergine,rot,Socken,gelb
AF,Gurke,rot,Gurke,braun,Socken,gelb,Zucchini,gruen
NF,Walnuss,braun,Waescheklammer,braun,Socken,gelb,Bueroklammer,rot
ANF,Walnuss,braun,Bohnen,gruen,Zucchini,gelb,Aubergine,rot
NF,Bohnen,gruen,Bueroklammer,gruen,Waescheklammer,braun,Waescheklammer,orange
NF,Erdbeere,rot,Waescheklammer,rot,Bueroklammer,gelb,Zucchini,gelb
ANF,Mandarine,orange,Banane,braun,Socken,gruen,Zucchini,gelb
AF,Sonnenbrille,gelb,Sonnenbrille,rot,Zucchini,braun,Socken,gruen
ANF,Banane,braun,Kartoffeln,orange,Bueroklammer,rot,Socken,gelb
NF,Gurke,rot,Bueroklammer,rot,Waescheklammer,orange,Avokado,gelb
ANF,Erdbeere,rot,Mandarine,orange,Socken,gelb,Zucchini,gruen
ANF,Bohnen,gruen,Zitrone,gelb,Aubergine,rot,Bueroklammer,rot
NF,Erbsen,gelb,Waescheklammer,gelb,Bueroklammer,rot,Aubergine,rot
NF,Tomate,gruen,Socken,gruen,Aubergine,gelb,Sonnenbrille,rot
ANF,Tomate,gruen,Erbsen,gelb,Zucchini,braun,Zucchini,rot
AF,Paprika,braun,Paprika,rot,Avokado,gelb,Waescheklammer,orange
NF,Moehre,gruen,Sonnenbrille,gruen,Zucchini,rot,Bueroklammer,gelb
AF,Socken,gruen,Socken,orange,Aubergine,rot,Zucchini,braun
NF,Zitrone,gelb,Sonnenbrille,gelb,Zucchini,braun,Socken,gruen
AF,Kirsche,gelb,Kirsche,gruen,Waescheklammer,braun,Bueroklammer,rot
NF,Trauben,orange,Socken,orange,Avokado,gelb,Waescheklammer,braun
ANF,Zitrone,gelb,Erdbeere,rot,Zucchini,gruen,Zucchini,braun
AF,Moehre,gruen,Moehre,orange,Bueroklammer,rot,Waescheklammer,braun
NF,Banane,braun,Sonnenbrille,braun,Socken,gruen,Zucchini,gruen
AF,Waescheklammer,orange,Waescheklammer,gelb,Bueroklammer,gruen,Zucchini,rot
