condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
AF,Bueroklammer,rot,Bueroklammer,braun,Sonnenbrille,gruen,Sonnenbrille,orange
ANF,Zitrone,gelb,Tomate,gruen,Socken,braun,Zucchini,braun
AF,Sonnenbrille,gelb,Sonnenbrille,gruen,Zucchini,braun,Socken,orange
NF,Aprikose,rot,Socken,rot,Bueroklammer,gruen,Avokado,gelb
NF,Paprika,braun,Waescheklammer,braun,Zucchini,gelb,Socken,orange
ANF,Tomate,gruen,Kartoffeln,orange,Aubergine,rot,Bueroklammer,rot
NF,Walnuss,braun,Bueroklammer,braun,Socken,orange,Zucchini,gelb
ANF,Banane,braun,Zitrone,gelb,Socken,orange,Sonnenbrille,rot
NF,Kartoffeln,orange,Waescheklammer,orange,Bueroklammer,gelb,Aubergine,gelb
AF,Sonnenbrille,braun,Sonnenbrille,rot,Avokado,gelb,Bueroklammer,gruen
NF,Mandarine,orange,Socken,orange,Avokado,gelb,Bueroklammer,gelb
AF,Waescheklammer,orange,Waescheklammer,gelb,Socken,braun,Sonnenbrille,rot
NF,Erdbeere,rot,Bueroklammer,rot,Waescheklammer,gruen,Birne,orange
ANF,Mandarine,orange,Erbsen,gelb,Bueroklammer,rot,Socken,rot
NF,Bohnen,gruen,Sonnenbrille,gruen,Birne,orange,Socken,rot
ANF,Erbsen,gelb,Aprikose,rot,Sonnenbrille,orange,Bueroklammer,gruen
AF,Moehre,gruen,Moehre,orange,Zucchini,gelb,Zucchini,braun
NF,Erbsen,gelb,Sonnenbrille,gelb,Socken,rot,Bueroklammer,gruen
NF,Banane,braun,Sonnenbrille,braun,Aubergine,rot,Bueroklammer,rot
AF,Socken,gruen,Socken,orange,Sonnenbrille,rot,Aubergine,rot
ANF,Kartoffeln,orange,Erdbeere,rot,Avokado,gelb,Socken,braun
NF,Moehre,gruen,Socken,gruen,Bueroklammer,rot,Sonnenbrille,orange
NF,Kirsche,gelb,Waescheklammer,gelb,Socken,braun,Zucchini,braun
ANF,Erdbeere,rot,Bohnen,gruen,Zucchini,braun,Socken,orange
NF,Trauben,orange,Bueroklammer,orange,Sonnenbrille,gruen,Sonnenbrille,rot
AF,Paprika,braun,Paprika,rot,Socken,orange,Zucchini,gelb
NF,Zitrone,gelb,Socken,gelb,Sonnenbrille,orange,Sonnenbrille,gruen
NF,Gurke,rot,Waescheklammer,rot,Zucchini,braun,Socken,braun
ANF,Bohnen,gruen,Walnuss,braun,Sonnenbrille,rot,Aubergine,rot
AF,Gurke,rot,Gurke,braun,Sonnenbrille,orange,Sonnenbrille,gruen
ANF,Aprikose,rot,Banane,braun,Sonnenbrille,gruen,Zucchini,gelb
AF,Kirsche,gelb,Kirsche,gruen,Bueroklammer,rot,Socken,rot
ANF,Walnuss,braun,Mandarine,orange,Zucchini,gelb,Sonnenbrille,gruen
AF,Trauben,orange,Trauben,gelb,Aubergine,rot,Socken,braun
NF,Tomate,gruen,Bueroklammer,gruen,Sonnenbrille,rot,Aubergine,rot
AF,Bueroklammer,rot,Bueroklammer,braun,Sonnenbrille,gruen,Sonnenbrille,orange
ANF,Zitrone,gelb,Tomate,gruen,Socken,braun,Zucchini,braun
AF,Sonnenbrille,gelb,Sonnenbrille,gruen,Zucchini,braun,Socken,orange
NF,Aprikose,rot,Socken,rot,Bueroklammer,gruen,Avokado,gelb
NF,Paprika,braun,Waescheklammer,braun,Zucchini,gelb,Socken,orange
ANF,Tomate,gruen,Kartoffeln,orange,Aubergine,rot,Bueroklammer,rot
NF,Walnuss,braun,Bueroklammer,braun,Socken,orange,Zucchini,gelb
ANF,Banane,braun,Zitrone,gelb,Socken,orange,Sonnenbrille,rot
