condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
NF,Kirsche,gelb,Waescheklammer,gelb,Sonnenbrille,gruen,Zucchini,rot
NF,Kartoffeln,orange,Socken,orange,Bueroklammer,rot,Bueroklammer,braun
ANF,Mandarine,orange,Walnuss,braun,Aubergine,gelb,Zucchini,rot
NF,Aprikose,rot,Bueroklammer,rot,Socken,orange,Zucchini,gruen
AF,Kirsche,gelb,Kirsche,gruen,Sonnenbrille,rot,Bueroklammer,braun
NF,Erdbeere,rot,Waescheklammer,rot,Aubergine,gelb,Bueroklammer,gruen
AF,Bueroklammer,rot,Bueroklammer,braun,Sonnenbrille,gruen,Waescheklammer,orange
ANF,Erbsen,gelb,Mandarine,orange,Zucchini,rot,Sonnenbrille,gruen
ANF,Tomate,gruen,Erdbeere,rot,Bueroklammer,orange,Bueroklammer,braun
AF,Moehre,gruen,Moehre,orange,Zucchini,rot,Zucchini,braun
NF,Zitrone,gelb,Sonnenbrille,gelb,Birne,orange,Avokado,gruen
NF,Banane,braun,Waescheklammer,braun,Sonnenbrille,rot,Aubergine,gelb
ANF,Bohnen,gruen,Aprikose,rot,Zucchini,braun,Aubergine,gelb
NF,Erbsen,gelb,Socken,gelb,Bueroklammer,gruen,Sonnenbrille,rot
AF,Gurke,rot,Gurke,braun,Avokado,gruen,Bueroklammer,orange
ANF,Aprikose,rot,Erbsen,gelb,Sonnenbrille,gruen,Waescheklammer,orange
AF,Waescheklammer,orange,Waescheklammer,gelb,Bueroklammer,gruen,Sonnenbrille,rot
ANF,Zitrone,gelb,Banane,braun,Bueroklammer,gruen,Sonnenbrille,rot
NF,Trauben,orange,Waescheklammer,orange,Avokado,gruen,Socken,rot
AF,Sonnenbrille,gelb,Sonnenbrille,gruen,Waescheklammer,orange,Zucchini,rot
ANF,Erdbeere,rot,Bohnen,gruen,Waescheklammer,orange,Zucchini,braun
NF,Bohnen,gruen,Bueroklammer,gruen,Socken,rot,Birne,orange
AF,Sonnenbrille,braun,Sonnenbrille,rot,Aubergine,gelb,Bueroklammer,gruen
NF,Gurke,rot,Socken,rot,Bueroklammer,braun,Bueroklammer,orange
AF,Socken,gruen,Socken,orange,Bueroklammer,braun,Bueroklammer,rot
NF,Walnuss,braun,Bueroklammer,braun,Aubergine,rot,Socken,orange
ANF,Banane,braun,Tomate,gruen,Sonnenbrille,rot,Bueroklammer,orange
NF,Mandarine,orange,Bueroklammer,orange,Zucchini,rot,Sonnenbrille,gruen
NF,Moehre,gruen,Sonnenbrille,gruen,Zucchini,braun,Waescheklammer,orange
AF,Trauben,orange,Trauben,gelb,Zucchini,braun,Sonnenbrille,gruen
NF,Paprika,braun,Sonnenbrille,braun,Bueroklammer,orange,Bueroklammer,rot
ANF,Walnuss,braun,Kartoffeln,orange,Socken,rot,Bueroklammer,gruen
NF,Tomate,gruen,Socken,gruen,Waescheklammer,orange,Zucchini,braun
AF,Paprika,braun,Paprika,rot,Bueroklammer,orange,Aubergine,gelb
ANF,Kartoffeln,orange,Zitrone,gelb,Bueroklammer,braun,Socken,rot
NF,Kirsche,gelb,Waescheklammer,gelb,Sonnenbrille,gruen,Zucchini,rot
NF,Kartoffeln,orange,Socken,orange,Bueroklammer,rot,Bueroklammer,braun
ANF,Mandarine,orange,Walnuss,braun,Aubergine,gelb,Zucchini,rot
NF,Aprikose,rot,Bueroklammer,rot,Socken,orange,Zucchini,gruen
AF,Kirsche,gelb,Kirsche,gruen,Sonnenbrille,rot,Bueroklammer,braun
NF,Erdbeere,rot,Waescheklammer,rot,Aubergine,gelb,Bueroklammer,gruen
AF,Bueroklammer,rot,Bueroklammer,braun,Sonnenbrille,gruen,Waescheklammer,orange
ANF,Erbsen,gelb,Mandarine,orange,Zucchini,rot,Sonnenbrille,gruen
ANF,Tomate,gruen,Erdbeere,rot,Bueroklammer,orange,Bueroklammer,braun
